code6	title	class	system/local	cto	cto_name	ucd_academic	ucd_senate_federation	Durst/Federation	Academic Count	Staff Count
003320	ASST SPECIALIST	ASST SPECIALIST	Academic	Systemwide	551	T	Federation	Federation	19	
003321	ASST SPECIALIST NEX	ASST SPECIALIST NEX	Academic	Systemwide	551	T	Federation	Federation	5	
003322	ASST SPECIALIST (WOS)	ASST SPECIALIST (WOS)	Academic	Systemwide	551	T	UNK			
003323	ASST SPECIALIST NON REP	ASST SPECIALIST NON REP	Academic	Systemwide	551	T	No			
003324	ASST SPECIALIST NEX NON REP	ASST SPECIALIST NEX NON REP	Academic	Systemwide	551	T	No			
003325	VIS ASST SPECIALIST	VIS ASST SPECIALIST	Academic	Systemwide	553	T	No			
003326	VIS ASST SPECIALIST NEX	VIS ASST SPECIALIST NEX	Academic	Systemwide	553	T	No			
003328	JR SPECIALIST (WOS)	JR SPECIALIST (WOS)	Academic	Systemwide	551	T	No			
003329	JR SPECIALIST NEX	JR SPECIALIST NEX	Academic	Systemwide	551	T	No			
003330	JR SPECIALIST	JR SPECIALIST	Academic	Systemwide	551	T	No		1	
003333	JR SPECIALIST NON REP	JR SPECIALIST NON REP	Academic	Systemwide	551	T	No			
003334	JR SPECIALIST NEX NON REP	JR SPECIALIST NEX NON REP	Academic	Systemwide	551	T	No			
003335	VIS JR SPECIALIST	VIS JR SPECIALIST	Academic	Systemwide	553	T	No			
003336	VIS JR SPECIALIST NEX	VIS JR SPECIALIST NEX	Academic	Systemwide	553	T	No			
003345	PROF IN RES-AY-1/10-B/E/E	PROF IN RES-AY-1/10-B/E/E	Academic	Systemwide	311	T	Senate			
003346	ASSOC PROF IN RES-AY-1/10-BEE	ASSOC PROF IN RES-AY-1/10-BEE	Academic	Systemwide	311	T	Senate			
003347	ASST PROF IN RES-AY-1/10-B/E/E	ASST PROF IN RES-AY-1/10-B/E/E	Academic	Systemwide	311	T	Senate			
003351	ASST PROF IN RES-AY-1/9	ASST PROF IN RES-AY-1/9	Academic	Systemwide	311	T	Senate			
003352	ASSOC PROF IN RES-AY-1/9	ASSOC PROF IN RES-AY-1/9	Academic	Systemwide	311	T	Senate			
003353	PROF IN RES-AY-1/9	PROF IN RES-AY-1/9	Academic	Systemwide	311	T	Senate			
003361	ASST ADJ PROF-AY-1/9	ASST ADJ PROF-AY-1/9	Academic	Systemwide	335	T	Federation	Federation	1	
003362	ASSOC ADJ PROF-AY-1/9	ASSOC ADJ PROF-AY-1/9	Academic	Systemwide	335	T	Federation	Federation		
003363	ADJ PROF-AY-1/9	ADJ PROF-AY-1/9	Academic	Systemwide	335	T	Federation	Federation		
003365	ASST ADJ PROF-AY-1/10	ASST ADJ PROF-AY-1/10	Academic	Systemwide	335	T	Federation	Federation		
003366	ASSOC ADJ PROF-AY-1/10	ASSOC ADJ PROF-AY-1/10	Academic	Systemwide	335	T	Federation	Federation		
003367	ADJ PROF-AY-1/10	ADJ PROF-AY-1/10	Academic	Systemwide	335	T	Federation	Federation		
003368	ASST ADJ PROF-AY-1/10-BEE	ASST ADJ PROF-AY-1/10-BEE	Academic	Systemwide	335	T	Federation	Federation		
003369	ASSOC ADJ PROF-AY-1/10-BEE	ASSOC ADJ PROF-AY-1/10-BEE	Academic	Systemwide	335	T	Federation	Federation		
003371	ASST ADJ PROF-AY-B/E/E	ASST ADJ PROF-AY-B/E/E	Academic	Systemwide	335	T	Federation	Federation	4	
003372	ASST ADJ PROF-FY-B/E/E	ASST ADJ PROF-FY-B/E/E	Academic	Systemwide	335	T	Federation	Federation	1	
003373	ASST ADJ PROF-AY-1/9-B/E/E	ASST ADJ PROF-AY-1/9-B/E/E	Academic	Systemwide	335	T	Federation	Federation		
003374	ASSOC ADJ PROF-AY-B/E/E	ASSOC ADJ PROF-AY-B/E/E	Academic	Systemwide	335	T	Federation	Federation	4	
