KFS_PROPOSAL_NUMBER,ORACLE_AWARD_NUMBER
132549,K329F70
132550,K329F71
132551,K329F72
132598,K329F73
132561,K329F76
132556,K329F77
132557,K329F78
132560,K329F79
132555,K329F80
132558,K329F81
132559,K329F82
132562,K329F83
132566,K329F86
132567,K329F87
132581,K329F88
132579,K329F89
132589,K329F90
132591,K329F91
132574,K329F92
132575,K329F93
132576,K329F94
132577,K329F95
132583,K329F96
132585,K329F97
132592,K329F98
132590,K329F99
111172,K330329
111661,K330372
111692,K330375
111777,K330385
111793,K330386
111798,K330387
111892,K330395
111250,K330497
111284,K330498
102386,K330519
104160,K330547
104159,K330550
104706,K330593
104780,K330598
104364,K330625
111425,K330685
111577,K330687
111578,K330688
111579,K330689
111592,K330692
111695,K330695
102713,K330721
111858,K330795
111859,K330796
112063,K330848
112089,K330850
112123,K330854
111469,K330860
111521,K330862
111742,K330873
111801,K330874
111574,K330908
111586,K330909
115914,K330915
111732,K330920
112290,K330945
112368,K330946
114175,K330A07
113694,K330A11
113829,K330A14
114008,K330A18
114085,K330A19
114091,K330A20
114127,K330A21
114235,K330A27
114423,K330A29
113638,K330A30
113612,K330A31
113697,K330A35
113689,K330A36
113850,K330A43
113849,K330A44
113882,K330A45
113887,K330A46
113892,K330A48
113908,K330A50
113909,K330A51
113964,K330A53
113966,K330A54
113983,K330A56
114003,K330A57
113771,K330A73
113655,K330A94
118383,K330B01
118382,K330B02
118473,K330B04
118380,K330B05
118394,K330B06
118389,K330B07
118387,K330B09
118407,K330B12
118456,K330B15
118403,K330B17
118402,K330B18
118400,K330B20
118416,K330B21
118415,K330B22
118433,K330B27
118431,K330B34
118308,K330B35
118483,K330B38
118439,K330B39
118438,K330B40
118437,K330B41
118488,K330B44
118450,K330B46
118451,K330B48
118452,K330B49
118490,K330B50
118460,K330B51
118459,K330B53
118458,K330B54
118470,K330B55
118466,K330B56
118464,K330B60
118493,K330B62
118737,K330B63
118478,K330B65
118477,K330B66
118480,K330B67
118476,K330B68
118475,K330B69
118474,K330B70
118487,K330B71
118492,K330B72
118486,K330B73
118494,K330B75
118597,K330B76
118506,K330B79
118510,K330B80
118503,K330B81
118502,K330B82
118501,K330B83
118500,K330B84
118499,K330B85
118624,K330B89
118516,K330B90
118519,K330B91
118515,K330B92
118520,K330B93
118585,K330B94
118518,K330B95
118535,K330B96
118514,K330B97
118513,K330B98
118512,K330B99
123074,K330C00
123075,K330C01
123076,K330C02
123070,K330C03
123071,K330C04
123064,K330C05
123078,K330C06
123079,K330C07
123090,K330C11
123085,K330C12
123082,K330C14
123086,K330C15
123087,K330C16
123088,K330C17
123089,K330C18
123096,K330C20
123102,K330C21
123098,K330C22
123101,K330C23
123100,K330C24
123121,K330C25
123120,K330C26
123127,K330C28
123105,K330C29
123118,K330C30
123119,K330C31
123116,K330C32
123115,K330C33
123108,K330C34
123114,K330C35
123135,K330C36
123129,K330C37
123109,K330C38
123113,K330C39
123124,K330C40
123125,K330C41
123122,K330C42
123126,K330C43
123141,K330C44
123132,K330C46
123142,K330C47
123133,K330C48
123138,K330C49
123134,K330C50
123137,K330C51
123189,K330C52
123148,K330C53
123149,K330C54
123147,K330C55
123145,K330C56
123150,K330C57
123151,K330C58
123146,K330C59
123154,K330C60
123155,K330C61
123152,K330C62
123156,K330C63
123158,K330C66
123160,K330C67
123159,K330C68
123161,K330C69
123200,K330C71
123233,K330C72
123236,K330C73
123174,K330C74
123175,K330C75
123235,K330C76
123239,K330C77
123232,K330C78
123240,K330C79
123201,K330C80
123202,K330C81
123204,K330C82
123193,K330C83
123238,K330C84
123203,K330C85
123234,K330C86
123243,K330C88
123210,K330C89
123211,K330C90
123309,K330C91
123241,K330C92
123214,K330C94
123242,K330C95
123213,K330C96
123220,K330C97
123216,K330C99
127738,K330D00
127737,K330D01
127734,K330D02
127735,K330D03
127736,K330D04
127747,K330D06
127746,K330D07
127743,K330D08
127745,K330D09
127744,K330D10
127741,K330D11
127742,K330D12
127755,K330D13
127754,K330D14
127753,K330D15
127751,K330D16
127752,K330D17
127750,K330D19
127757,K330D21
127761,K330D22
127759,K330D23
127760,K330D24
127762,K330D25
127764,K330D26
127763,K330D27
127785,K330D29
127771,K330D30
127769,K330D31
127770,K330D32
127767,K330D34
127783,K330D35
127780,K330D38
127778,K330D39
127774,K330D40
127787,K330D42
127776,K330D43
127775,K330D44
127777,K330D45
127791,K330D48
127793,K330D49
127817,K330D50
127788,K330D51
127792,K330D52
127790,K330D53
127794,K330D54
127795,K330D56
127796,K330D57
127805,K330D58
127803,K330D59
127804,K330D60
127799,K330D61
127806,K330D63
127798,K330D64
127800,K330D65
127801,K330D67
127802,K330D68
127821,K330D71
127813,K330D72
127812,K330D73
127814,K330D74
127810,K330D75
127808,K330D76
127809,K330D77
127819,K330D83
127828,K330D86
127836,K330D87
127833,K330D89
127832,K330D90
127834,K330D91
127835,K330D92
127830,K330D93
127831,K330D94
127837,K330D95
127843,K330D96
127841,K330D97
127842,K330D98
127850,K330D99
132593,K330F00
132594,K330F01
132595,K330F02
132582,K330F03
132578,K330F04
132580,K330F05
132584,K330F06
132586,K330F07
132587,K330F08
132588,K330F09
132596,K330F10
132607,K330F13
132602,K330F14
132605,K330F15
132611,K330F16
132604,K330F17
132606,K330F18
132608,K330F19
132700,K330F20
132610,K330F21
132612,K330F22
132613,K330F23
132614,K330F24
132615,K330F25
132649,K330F26
132685,K330F27
132650,K330F28
132667,K330F29
132660,K330F30
132662,K330F31
132663,K330F32
132619,K330F34
132623,K330F35
132621,K330F36
132620,K330F37
132622,K330F38
132624,K330F39
132625,K330F40
132626,K330F41
132627,K330F42
132631,K330F43
132635,K330F44
132634,K330F45
132632,K330F46
132633,K330F47
132636,K330F48
132637,K330F49
132638,K330F50
132666,K330F51
132640,K330F52
132646,K330F53
132641,K330F54
132645,K330F55
132648,K330F56
132642,K330F57
132643,K330F58
132644,K330F59
132647,K330F60
132651,K330F62
132654,K330F63
132655,K330F64
132652,K330F65
132653,K330F66
132656,K330F67
132658,K330F68
132665,K330F71
132668,K330F72
132893,K330F73
132672,K330F74
132675,K330F75
132676,K330F76
132680,K330F77
132681,K330F78
132684,K330F79
132673,K330F80
132674,K330F81
132677,K330F82
132678,K330F83
132679,K330F84
132756,K330F85
132683,K330F86
132687,K330F87
132696,K330F89
132699,K330F90
132689,K330F91
132691,K330F92
132692,K330F93
132693,K330F94
132694,K330F95
132695,K330F96
132697,K330F97
132698,K330F98
111421,K331045
6148,K331212
6301,K331384
113828,K331A03
113830,K331A04
113832,K331A05
113897,K331A08
113934,K331A09
113957,K331A12
114028,K331A14
113895,K331A21
114029,K331A47
114125,K331A57
113889,K331A62
113900,K331A63
113904,K331A64
113965,K331A65
114023,K331A66
114053,K331A68
114077,K331A70
114084,K331A71
114110,K331A72
114120,K331A74
114119,K331A75
114196,K331A77
114328,K331A79
113826,K331A83
118511,K331B00
118524,K331B02
118523,K331B03
118522,K331B04
118521,K331B05
118497,K331B06
118543,K331B08
118548,K331B12
118532,K331B15
118562,K331B16
118753,K331B17
118529,K331B19
118563,K331B20
118623,K331B21
118542,K331B26
118541,K331B29
118584,K331B33
118582,K331B35
118580,K331B37
118579,K331B38
118578,K331B39
118575,K331B40
118574,K331B42
118626,K331B46
118592,K331B47
118572,K331B48
118595,K331B49
118594,K331B50
118593,K331B51
118591,K331B52
118590,K331B54
118621,K331B56
118620,K331B57
118589,K331B58
118605,K331B60
118602,K331B62
118610,K331B63
118612,K331B64
118613,K331B65
118616,K331B66
118706,K331B67
118617,K331B70
118743,K331B72
118721,K331B74
118678,K331B75
118705,K331B76
118534,K331B78
118674,K331B79
118673,K331B81
118588,K331B82
118665,K331B83
118657,K331B85
118650,K331B87
118690,K331B89
118642,K331B90
118683,K331B91
118638,K331B92
118712,K331B93
118677,K331B95
118685,K331B96
118723,K331B97
118637,K331B99
123221,K331C02
123252,K331C03
123265,K331C04
123263,K331C05
123223,K331C06
123230,K331C07
123231,K331C08
123225,K331C09
123310,K331C10
123245,K331C12
123246,K331C13
123247,K331C14
123248,K331C15
123264,K331C16
123260,K331C17
123254,K331C19
123255,K331C20
123256,K331C21
123257,K331C22
123258,K331C23
123259,K331C24
123278,K331C26
123272,K331C27
123281,K331C28
123271,K331C29
123273,K331C30
123274,K331C31
123289,K331C34
123285,K331C35
123286,K331C36
123300,K331C37
123298,K331C38
123294,K331C39
123296,K331C40
123297,K331C41
123291,K331C42
123292,K331C43
123295,K331C44
123299,K331C45
123293,K331C46
123308,K331C48
123304,K331C49
123305,K331C50
123307,K331C51
123316,K331C54
123313,K331C56
123314,K331C57
123315,K331C58
123317,K331C59
123318,K331C60
123319,K331C61
123323,K331C62
123312,K331C63
123325,K331C65
123326,K331C66
123402,K331C68
123330,K331C69
123331,K331C70
123332,K331C71
123327,K331C72
123328,K331C73
123337,K331C75
123338,K331C76
123339,K331C77
123340,K331C78
123341,K331C79
123346,K331C81
123347,K331C82
123348,K331C83
123349,K331C84
123350,K331C86
123357,K331C87
123370,K331C88
123356,K331C90
123354,K331C91
123359,K331C92
123365,K331C93
123362,K331C94
123363,K331C95
123368,K331C96
123366,K331C97
123367,K331C98
123361,K331C99
127839,K331D00
127838,K331D01
127844,K331D02
127860,K331D04
127849,K331D05
127859,K331D06
127847,K331D07
127846,K331D08
127848,K331D09
127856,K331D10
127853,K331D11
127854,K331D12
127851,K331D13
127857,K331D14
127855,K331D15
127852,K331D16
127861,K331D17
127865,K331D18
127866,K331D19
127868,K331D20
127862,K331D22
127867,K331D23
127875,K331D26
127873,K331D27
127872,K331D28
127874,K331D29
127876,K331D30
127882,K331D31
127881,K331D32
127885,K331D33
127884,K331D34
127883,K331D35
127880,K331D36
127878,K331D37
127887,K331D40
127889,K331D41
127886,K331D42
127890,K331D43
127896,K331D45
127891,K331D46
127893,K331D47
127892,K331D48
127895,K331D49
127894,K331D50
127900,K331D52
127897,K331D53
127901,K331D54
127903,K331D55
127902,K331D56
127905,K331D57
127904,K331D58
127907,K331D59
127906,K331D60
127910,K331D61
127909,K331D62
127911,K331D63
127919,K331D65
127922,K331D66
127920,K331D67
127915,K331D68
127923,K331D69
127912,K331D70
127916,K331D71
127913,K331D72
127914,K331D73
127917,K331D74
127921,K331D75
127928,K331D76
127926,K331D77
127925,K331D78
127929,K331D80
127933,K331D81
127931,K331D82
127934,K331D83
127935,K331D84
127932,K331D85
127936,K331D90
127942,K331D91
127940,K331D92
127945,K331D93
127943,K331D94
127946,K331D95
127944,K331D96
127937,K331D97
127941,K331D98
127939,K331D99
132791,K331F02
132702,K331F04
132705,K331F05
132706,K331F06
132709,K331F07
132704,K331F08
132707,K331F09
132708,K331F10
132710,K331F11
132711,K331F12
132712,K331F13
132713,K331F14
132718,K331F15
132719,K331F16
132720,K331F17
132721,K331F18
132722,K331F19
132723,K331F20
132724,K331F21
132725,K331F22
132726,K331F23
132742,K331F24
132741,K331F25
132754,K331F26
132737,K331F27
132731,K331F28
132732,K331F29
132736,K331F30
132733,K331F31
132734,K331F32
132735,K331F33
132738,K331F34
132739,K331F35
132744,K331F36
132752,K331F37
132751,K331F38
132746,K331F39
132747,K331F40
132748,K331F41
132749,K331F42
132750,K331F43
132743,K331F44
132759,K331F46
132758,K331F47
132760,K331F48
132762,K331F49
132764,K331F50
132823,K331F51
132774,K331F54
132766,K331F55
132767,K331F56
132768,K331F57
132769,K331F58
132770,K331F59
132771,K331F60
132772,K331F61
132773,K331F62
132783,K331F63
132779,K331F64
132776,K331F65
132775,K331F67
132777,K331F68
132778,K331F69
132780,K331F70
132811,K331F71
132789,K331F72
132790,K331F73
132793,K331F74
132796,K331F75
132803,K331F76
132792,K331F77
132794,K331F78
132795,K331F79
132797,K331F80
132798,K331F81
133314,K331F83
132809,K331F88
132805,K331F89
132806,K331F90
132808,K331F91
132810,K331F92
132841,K331F93
132854,K331F95
132815,K331F96
132816,K331F97
132817,K331F98
132818,K331F99
104165,K332089
104497,K332357
103990,K332474
109536,K332537
110406,K332538
111677,K332541
111672,K332543
111941,K332544
111588,K332545
110978,K332552
110065,K332558
105031,K332574
108623,K332594
103799,K332606
103872,K332808
104113,K332817
106105,K332963
106538,K332986
113999,K332A11
114115,K332A17
114178,K332A25
114385,K332A32
114523,K332A36
115465,K332A42
114061,K332A52
114655,K332A68
114649,K332A69
113962,K332A72
113989,K332A76
114047,K332A88
114068,K332A89
114069,K332A90
114222,K332A95
118681,K332B03
118577,K332B04
118725,K332B07
118724,K332B08
118693,K332B13
118748,K332B14
118639,K332B15
118749,K332B21
118658,K332B23
118740,K332B25
118728,K332B27
118738,K332B29
118708,K332B30
118716,K332B31
118760,K332B32
118732,K332B34
118720,K332B35
118718,K332B36
118739,K332B37
118619,K332B41
118645,K332B43
118763,K332B44
118764,K332B45
119511,K332B50
119652,K332B51
118775,K332B52
118777,K332B54
118778,K332B55
118695,K332B56
118640,K332B57
118772,K332B61
118773,K332B62
118692,K332B65
118923,K332B66
118643,K332B67
118641,K332B68
118783,K332B70
118784,K332B71
118901,K332B72
118785,K332B73
119494,K332B74
119495,K332B75
119489,K332B77
118786,K332B78
119490,K332B79
118782,K332B80
118800,K332B82
119100,K332B84
119493,K332B85
118802,K332B86
118817,K332B87
118822,K332B89
118793,K332B91
118787,K332B92
118826,K332B95
118827,K332B96
118828,K332B97
123364,K332C00
123391,K332C01
123380,K332C02
123384,K332C04
123377,K332C05
123376,K332C06
123373,K332C07
123381,K332C08
123371,K332C09
123372,K332C10
123390,K332C11
123386,K332C12
123385,K332C13
123399,K332C15
123396,K332C16
123395,K332C17
123398,K332C18
123397,K332C19
123401,K332C20
123392,K332C21
123394,K332C22
123405,K332C23
123417,K332C25
123449,K332C26
123411,K332C27
123408,K332C28
123414,K332C29
123415,K332C30
123410,K332C31
123409,K332C32
123413,K332C33
123424,K332C35
123423,K332C36
123419,K332C37
123421,K332C38
123418,K332C39
123426,K332C40
123427,K332C41
123428,K332C42
123425,K332C43
123429,K332C44
123430,K332C45
123450,K332C47
123434,K332C48
123435,K332C49
123489,K332C50
123432,K332C51
123441,K332C52
123445,K332C54
123442,K332C55
123501,K332C57
123502,K332C58
123503,K332C59
123452,K332C61
123448,K332C62
123447,K332C63
123469,K332C66
123454,K332C67
123471,K332C68
123457,K332C69
123456,K332C70
123455,K332C71
123459,K332C72
123458,K332C73
123466,K332C77
123465,K332C78
123476,K332C79
123475,K332C80
123474,K332C81
123540,K332C82
123516,K332C84
123485,K332C85
123480,K332C86
123478,K332C87
123487,K332C88
123484,K332C89
123479,K332C90
123482,K332C91
123481,K332C92
123483,K332C93
123486,K332C94
123499,K332C98
123494,K332C99
127938,K332D00
127953,K332D04
127956,K332D05
127957,K332D06
129331,K332D07
127951,K332D08
127955,K332D09
127879,K332D11
127964,K332D12
127958,K332D13
127963,K332D14
127962,K332D15
127992,K332D16
127976,K332D19
127975,K332D20
127970,K332D21
127971,K332D22
127972,K332D23
127973,K332D24
127974,K332D25
128002,K332D30
128003,K332D31
127991,K332D32
127990,K332D33
127984,K332D34
127987,K332D35
127980,K332D36
127983,K332D37
127986,K332D38
127985,K332D39
127981,K332D40
127979,K332D41
127982,K332D42
128000,K332D43
127997,K332D44
127996,K332D45
127995,K332D46
127994,K332D47
127993,K332D48
127998,K332D49
128012,K332D50
128009,K332D51
128008,K332D52
128004,K332D53
128005,K332D54
128011,K332D55
128014,K332D56
128020,K332D58
128015,K332D59
128021,K332D60
128017,K332D61
128007,K332D63
130055,K332D64
128032,K332D65
128031,K332D66
128026,K332D67
128027,K332D68
128033,K332D70
128029,K332D71
128034,K332D72
128016,K332D75
128045,K332D77
128044,K332D78
128042,K332D79
128046,K332D80
128048,K332D81
128043,K332D82
128053,K332D84
128055,K332D85
128054,K332D86
128056,K332D87
128060,K332D89
128067,K332D91
128065,K332D93
128068,K332D95
128079,K332D96
128077,K332D97
128069,K332D98
132819,K332F00
132820,K332F01
132821,K332F02
132842,K332F04
132782,K332F05
132826,K332F07
132840,K332F08
132836,K332F09
132832,K332F10
132825,K332F11
132827,K332F12
132828,K332F13
132829,K332F14
132830,K332F15
132833,K332F16
132838,K332F17
132839,K332F18
132835,K332F19
132837,K332F20
132844,K332F25
132864,K332F26
132849,K332F27
132847,K332F28
132850,K332F29
132848,K332F30
132851,K332F31
132856,K332F32
132857,K332F33
132858,K332F34
132859,K332F35
132860,K332F36
132861,K332F37
132862,K332F38
132867,K332F39
132868,K332F40
132869,K332F41
132870,K332F42
132877,K332F43
132872,K332F44
132873,K332F45
132874,K332F46
132875,K332F47
132876,K332F48
132878,K332F49
132879,K332F50
132885,K332F53
132886,K332F54
132887,K332F55
132888,K332F56
132889,K332F57
132890,K332F58
132891,K332F59
132894,K332F61
132895,K332F62
132898,K332F63
132896,K332F64
132897,K332F65
132899,K332F66
132901,K332F67
132900,K332F68
132902,K332F69
132903,K332F70
132904,K332F71
132953,K332F72
133564,K332F73
132921,K332F77
132914,K332F78
132907,K332F79
132912,K332F80
132917,K332F81
132916,K332F82
132908,K332F83
132909,K332F84
132910,K332F85
132915,K332F86
132918,K332F87
132922,K332F88
132920,K332F89
132911,K332F90
132927,K332F92
132930,K332F93
132925,K332F94
132926,K332F95
132928,K332F96
132929,K332F97
132933,K332F98
132935,K332F99
105056,K333139
104913,K333235
104974,K333238
105645,K333264
104545,K333310
105741,K333351
106406,K333378
104608,K333426
105662,K333476
105942,K333492
105807,K333583
106372,K333677
106764,K333695
106227,K333786
106066,K333967
113985,K333A00
114024,K333A02
114044,K333A03
113915,K333A09
114210,K333A10
114240,K333A11
114578,K333A15
114593,K333A16
114730,K333A18
114743,K333A19
114872,K333A22
114906,K333A23
114927,K333A24
114977,K333A26
115140,K333A28
113942,K333A30
114050,K333A31
114060,K333A32
114062,K333A34
114090,K333A35
114075,K333A36
114118,K333A38
114209,K333A41
114247,K333A42
114466,K333A44
114492,K333A45
114598,K333A50
114596,K333A51
114634,K333A52
114691,K333A53
114728,K333A54
114107,K333A60
114104,K333A61
114136,K333A65
114149,K333A66
114213,K333A70
114277,K333A72
114273,K333A79
114189,K333A82
114206,K333A83
114243,K333A88
114284,K333A90
114396,K333A92
114338,K333A93
114403,K333A96
114439,K333A97
118614,K333B00
118607,K333B01
118655,K333B02
118636,K333B03
118834,K333B07
118831,K333B11
118833,K333B12
118836,K333B13
118837,K333B14
118841,K333B17
118838,K333B19
118702,K333B20
118845,K333B21
118660,K333B22
118601,K333B23
118825,K333B24
118854,K333B25
118861,K333B28
118849,K333B32
118851,K333B33
118853,K333B34
118850,K333B36
118848,K333B37
118852,K333B38
118866,K333B41
118606,K333B48
118858,K333B52
118897,K333B54
118888,K333B56
118882,K333B57
118880,K333B58
118885,K333B59
118878,K333B60
118876,K333B61
118877,K333B62
118887,K333B64
118898,K333B67
118947,K333B68
118892,K333B70
118884,K333B71
118662,K333B72
118895,K333B73
118894,K333B74
118663,K333B75
118921,K333B76
118938,K333B77
118701,K333B78
118686,K333B84
118661,K333B85
118688,K333B86
118946,K333B88
118949,K333B89
118937,K333B90
118979,K333B91
118942,K333B93
118943,K333B95
118941,K333B96
118950,K333B97
118682,K333B98
118906,K333B99
123491,K333C00
123492,K333C01
123505,K333C02
123566,K333C03
123498,K333C04
123496,K333C05
123490,K333C06
123497,K333C07
123493,K333C08
123513,K333C09
123509,K333C10
123511,K333C11
123510,K333C12
123515,K333C13
123522,K333C18
123610,K333C24
123517,K333C25
123521,K333C27
123586,K333C28
123536,K333C31
123585,K333C32
123531,K333C33
123532,K333C34
123529,K333C35
123527,K333C36
123533,K333C37
123528,K333C38
123526,K333C39
123525,K333C40
123550,K333C41
123551,K333C42
123549,K333C43
123552,K333C44
123553,K333C45
123555,K333C46
123556,K333C47
123557,K333C48
123554,K333C49
123548,K333C50
123564,K333C52
123565,K333C53
123560,K333C54
123562,K333C55
123561,K333C56
123563,K333C57
123472,K333C58
123571,K333C59
123569,K333C60
123574,K333C61
123573,K333C62
123572,K333C63
123581,K333C64
123578,K333C65
123577,K333C66
123580,K333C67
123583,K333C68
123579,K333C70
123582,K333C71
123596,K333C72
123591,K333C73
123598,K333C74
123594,K333C75
123599,K333C76
123597,K333C77
123600,K333C79
123590,K333C80
123589,K333C81
123587,K333C82
123595,K333C83
123605,K333C84
123609,K333C85
123603,K333C86
123607,K333C87
123604,K333C88
123781,K333C89
123608,K333C91
123606,K333C92
123602,K333C93
123616,K333C94
123613,K333C99
128073,K333D00
128074,K333D01
128072,K333D02
128075,K333D03
128070,K333D04
128076,K333D05
128085,K333D06
128083,K333D07
128086,K333D08
128088,K333D09
128087,K333D10
128089,K333D11
128090,K333D12
128082,K333D14
128084,K333D15
128091,K333D16
128092,K333D17
128093,K333D18
128094,K333D19
128098,K333D20
128102,K333D21
128103,K333D22
128115,K333D30
128112,K333D31
128122,K333D32
128118,K333D33
128109,K333D34
128120,K333D35
128119,K333D36
128113,K333D37
128116,K333D38
128117,K333D39
128105,K333D40
128106,K333D41
128107,K333D42
128110,K333D44
128121,K333D45
128143,K333D46
128126,K333D50
128133,K333D51
128124,K333D52
128128,K333D54
128132,K333D55
128127,K333D56
128125,K333D57
128141,K333D58
128137,K333D59
128140,K333D60
128138,K333D61
128139,K333D62
128136,K333D63
128142,K333D64
128148,K333D66
128149,K333D67
128152,K333D68
128153,K333D69
128151,K333D70
128205,K333D72
128162,K333D73
128161,K333D74
128158,K333D75
128156,K333D76
128163,K333D77
128159,K333D78
128164,K333D80
128170,K333D81
128172,K333D82
128168,K333D83
128167,K333D84
128169,K333D85
128166,K333D86
128176,K333D88
128182,K333D89
128178,K333D91
128183,K333D92
128179,K333D93
128177,K333D94
128181,K333D95
128180,K333D96
128189,K333D98
128187,K333D99
132936,K333F00
132939,K333F01
132932,K333F02
132937,K333F03
132938,K333F04
132976,K333F05
132950,K333F09
132945,K333F10
132947,K333F11
132946,K333F12
132948,K333F13
132977,K333F15
132967,K333F16
133090,K333F17
132960,K333F18
132958,K333F19
132955,K333F20
132963,K333F21
132965,K333F22
132956,K333F23
132957,K333F24
132959,K333F25
132961,K333F26
132962,K333F27
132964,K333F28
132971,K333F30
132972,K333F31
132973,K333F32
132978,K333F37
132979,K333F38
132980,K333F39
132981,K333F40
132982,K333F41
132983,K333F42
132984,K333F43
132985,K333F44
133045,K333F45
132989,K333F46
132991,K333F47
132994,K333F49
132995,K333F50
132996,K333F51
132997,K333F52
133033,K333F53
133004,K333F54
132999,K333F55
133000,K333F56
133001,K333F57
133002,K333F58
133003,K333F59
133005,K333F62
133010,K333F63
133006,K333F64
133007,K333F65
133008,K333F66
133009,K333F67
133020,K333F70
133017,K333F71
133019,K333F72
133018,K333F73
133026,K333F77
133027,K333F78
133024,K333F79
133025,K333F80
133028,K333F81
133029,K333F82
133030,K333F83
133031,K333F84
133035,K333F85
133041,K333F86
133036,K333F87
133040,K333F88
133038,K333F89
133042,K333F90
133043,K333F91
133044,K333F92
133218,K333F93
133053,K333F94
133048,K333F95
133050,K333F96
133051,K333F97
133052,K333F98
114449,K334A00
114558,K334A09
114126,K334A13
114190,K334A20
114203,K334A21
114244,K334A23
114242,K334A24
114256,K334A25
114570,K334A39
114572,K334A40
114576,K334A41
114647,K334A43
114133,K334A51
114134,K334A52
114167,K334A53
114181,K334A54
114182,K334A55
114184,K334A56
114279,K334A59
114282,K334A60
114302,K334A61
114303,K334A62
114412,K334A67
114413,K334A68
114496,K334A69
114539,K334A71
114540,K334A72
114541,K334A73
114544,K334A74
114565,K334A76
114638,K334A79
114643,K334A83
114645,K334A85
114661,K334A87
114674,K334A88
114697,K334A89
114706,K334A91
114733,K334A92
114911,K334A94
114915,K334A96
115009,K334A99
118159,K334B00
118163,K334B04
118908,K334B05
118913,K334B06
118912,K334B07
118917,K334B08
118929,K334B09
118931,K334B16
119003,K334B18
118930,K334B23
118953,K334B24
119057,K334B25
118966,K334B27
118954,K334B28
118955,K334B29
118959,K334B32
118960,K334B33
118962,K334B34
118964,K334B35
118981,K334B36
118982,K334B39
118990,K334B40
118696,K334B43
118991,K334B45
118910,K334B50
119102,K334B51
118975,K334B52
118974,K334B53
118971,K334B54
118973,K334B56
118978,K334B58
119071,K334B59
118985,K334B61
118986,K334B62
118995,K334B63
118996,K334B64
118992,K334B65
118993,K334B66
118994,K334B68
118997,K334B69
119029,K334B76
119031,K334B77
119033,K334B78
119032,K334B81
119034,K334B82
119009,K334B83
119011,K334B84
119014,K334B85
119019,K334B87
119020,K334B89
119021,K334B90
119015,K334B91
119042,K334B97
119038,K334B99
123618,K334C00
123611,K334C01
123612,K334C02
123623,K334C07
123625,K334C08
123624,K334C09
123622,K334C10
123631,K334C13
123629,K334C14
123627,K334C15
123630,K334C16
123628,K334C17
123638,K334C18
123641,K334C19
123642,K334C20
123715,K334C21
123640,K334C22
123634,K334C24
123633,K334C25
123632,K334C26
123635,K334C27
123637,K334C28
123652,K334C29
123653,K334C30
123654,K334C31
123651,K334C32
123658,K334C38
123887,K334C39
123667,K334C40
123661,K334C41
123683,K334C42
123664,K334C43
123663,K334C44
123665,K334C45
123666,K334C46
123668,K334C48
123823,K334C60
123694,K334C61
123690,K334C62
123691,K334C63
123692,K334C64
123686,K334C65
123693,K334C66
123688,K334C67
123698,K334C68
123700,K334C69
123687,K334C70
123689,K334C71
123699,K334C72
123707,K334C73
123709,K334C74
123708,K334C75
123711,K334C76
123706,K334C77
123705,K334C78
123710,K334C79
123714,K334C80
123727,K334C81
123717,K334C82
123719,K334C83
123716,K334C84
123718,K334C85
123726,K334C86
123724,K334C87
123722,K334C89
123728,K334C90
123740,K334C91
123737,K334C94
123741,K334C95
123735,K334C96
123736,K334C97
123729,K334C98
123732,K334C99
128188,K334D00
128186,K334D01
128223,K334D02
128197,K334D04
128199,K334D05
128203,K334D06
128198,K334D07
128202,K334D09
128196,K334D10
128201,K334D11
128200,K334D12
128160,K334D13
128204,K334D14
128209,K334D15
128211,K334D16
128210,K334D17
128208,K334D18
128222,K334D20
128232,K334D21
128217,K334D22
128219,K334D23
128221,K334D24
128218,K334D25
128234,K334D28
128235,K334D29
128236,K334D30
128229,K334D31
128237,K334D32
128227,K334D34
128233,K334D35
128230,K334D36
128228,K334D37
128231,K334D38
128245,K334D41
128243,K334D42
128244,K334D43
128251,K334D45
128252,K334D46
128254,K334D47
128253,K334D48
128255,K334D49
128285,K334D50
128263,K334D51
128256,K334D52
128264,K334D53
128265,K334D54
128259,K334D55
128260,K334D56
128262,K334D57
128257,K334D58
128261,K334D59
128258,K334D60
128272,K334D61
128271,K334D62
128268,K334D63
128267,K334D64
128270,K334D65
128277,K334D68
128281,K334D69
128282,K334D70
128280,K334D71
128278,K334D72
128279,K334D73
128276,K334D74
128284,K334D76
128289,K334D78
128290,K334D79
128296,K334D81
128292,K334D82
128295,K334D83
128294,K334D84
128316,K334D88
128301,K334D90
128307,K334D91
128302,K334D92
128306,K334D93
128304,K334D94
128335,K334D95
128303,K334D96
128309,K334D97
128305,K334D98
128315,K334D99
133054,K334F00
133055,K334F01
133056,K334F02
133057,K334F03
133058,K334F04
133067,K334F05
133068,K334F06
133070,K334F07
133071,K334F08
133072,K334F09
133073,K334F10
133089,K334F12
133085,K334F13
133077,K334F14
133081,K334F15
133083,K334F16
133084,K334F17
133078,K334F18
133079,K334F19
133080,K334F20
133086,K334F22
133087,K334F23
133088,K334F24
133119,K334F25
133101,K334F27
133102,K334F28
133094,K334F29
133095,K334F30
133096,K334F31
133097,K334F32
133098,K334F33
133099,K334F34
133100,K334F36
133103,K334F38
133147,K334F39
133118,K334F40
133117,K334F41
133112,K334F42
133114,K334F43
133113,K334F44
133115,K334F45
133116,K334F46
133125,K334F48
133123,K334F49
133126,K334F50
133124,K334F51
133132,K334F54
133130,K334F55
133131,K334F56
