KFS_PROPOSAL_NUMBER,ORACLE_AWARD_NUMBER
112985,K321A73
113026,K321A92
113082,K321A98
113135,K321A99
117297,K321B03
117329,K321B04
117343,K321B05
117400,K321B06
117421,K321B07
117425,K321B10
117438,K321B11
117437,K321B12
117463,K321B14
117471,K321B15
117469,K321B16
117404,K321B17
117511,K321B18
117505,K321B19
117291,K321B20
117292,K321B21
117363,K321B23
117372,K321B26
117344,K321B28
117408,K321B31
117426,K321B32
117443,K321B34
117289,K321B40
117288,K321B41
117283,K321B42
117298,K321B44
117339,K321B46
117342,K321B47
117348,K321B48
117376,K321B50
117418,K321B51
117392,K321B52
117405,K321B53
117412,K321B54
117492,K321B55
117497,K321B56
117501,K321B58
117509,K321B59
117435,K321B70
117351,K321B80
117422,K321B81
117508,K321B90
122040,K321C00
122036,K321C01
122044,K321C03
122279,K321C04
122125,K321C05
122045,K321C06
122046,K321C07
122047,K321C08
122048,K321C09
122060,K321C10
122061,K321C11
122062,K321C12
122063,K321C13
122079,K321C14
122055,K321C15
122053,K321C16
122054,K321C17
122059,K321C18
122058,K321C19
122056,K321C20
122057,K321C21
122077,K321C22
122073,K321C24
122074,K321C25
122075,K321C26
122076,K321C27
122098,K321C28
122097,K321C29
122067,K321C30
122069,K321C31
122068,K321C32
122066,K321C33
122072,K321C34
122071,K321C35
122070,K321C36
122163,K321C37
122100,K321C39
122099,K321C41
122124,K321C42
122085,K321C43
122084,K321C44
122081,K321C45
122082,K321C46
122086,K321C47
122093,K321C48
122094,K321C49
122092,K321C50
122089,K321C51
122087,K321C52
122088,K321C53
122096,K321C54
122116,K321C55
122117,K321C56
122095,K321C57
122118,K321C58
122106,K321C59
122104,K321C60
122105,K321C61
122107,K321C62
122108,K321C63
122109,K321C65
122142,K321C66
122141,K321C67
122140,K321C68
122112,K321C69
122113,K321C70
122114,K321C71
122115,K321C72
122119,K321C73
122120,K321C74
122121,K321C75
122123,K321C77
122175,K321C78
122161,K321C81
122145,K321C82
122127,K321C83
122128,K321C84
122129,K321C85
122130,K321C86
122131,K321C87
122132,K321C88
122133,K321C89
122134,K321C90
122135,K321C91
122136,K321C92
122137,K321C93
122138,K321C94
122139,K321C95
122326,K321C96
122148,K321C97
122149,K321C98
122150,K321C99
126709,K321D00
126675,K321D01
126721,K321D02
126715,K321D03
126716,K321D04
126714,K321D05
126724,K321D06
126718,K321D07
126720,K321D08
126722,K321D09
126723,K321D10
126717,K321D11
126719,K321D12
126731,K321D13
126737,K321D14
126732,K321D15
126738,K321D16
126733,K321D17
126734,K321D18
126741,K321D19
126735,K321D20
126736,K321D21
126739,K321D22
126729,K321D23
126740,K321D24
126730,K321D25
126762,K321D26
126748,K321D28
126744,K321D30
126743,K321D31
126749,K321D32
126747,K321D33
126746,K321D34
126780,K321D35
126755,K321D36
126757,K321D37
126761,K321D38
126760,K321D39
126751,K321D40
126758,K321D41
126752,K321D42
126754,K321D43
126756,K321D44
126753,K321D45
126759,K321D47
126766,K321D48
126771,K321D49
126783,K321D50
126770,K321D51
126777,K321D52
126774,K321D53
126785,K321D54
126790,K321D55
126765,K321D56
126776,K321D57
126772,K321D58
126768,K321D59
126787,K321D60
126792,K321D61
126791,K321D62
126769,K321D63
126786,K321D64
126843,K321D65
126799,K321D66
126797,K321D67
126796,K321D68
126798,K321D69
126801,K321D70
126794,K321D71
126800,K321D72
126802,K321D73
126804,K321D75
126822,K321D76
126808,K321D77
126812,K321D78
126814,K321D79
126810,K321D80
126815,K321D81
126809,K321D82
126816,K321D83
126820,K321D84
126811,K321D85
126807,K321D86
126813,K321D87
126819,K321D88
126817,K321D89
126818,K321D90
126821,K321D91
126826,K321D92
126824,K321D93
126823,K321D94
126829,K321D95
126827,K321D96
126825,K321D97
126828,K321D98
131354,K321E61
131607,K321F00
131608,K321F01
131609,K321F02
131512,K321F03
131513,K321F04
131514,K321F05
131515,K321F06
131516,K321F07
131517,K321F08
131518,K321F09
131519,K321F10
131521,K321F11
131522,K321F12
131520,K321F13
131509,K321F14
131523,K321F17
131525,K321F18
131526,K321F19
131527,K321F20
131524,K321F21
131529,K321F23
131530,K321F24
131531,K321F25
131533,K321F26
131532,K321F27
131536,K321F28
131547,K321F30
131548,K321F31
131542,K321F32
131543,K321F33
131545,K321F34
131546,K321F35
131541,K321F36
131544,K321F37
131554,K321F39
131604,K321F40
131603,K321F41
131557,K321F42
131558,K321F43
131555,K321F44
131566,K321F46
131565,K321F47
131564,K321F48
