Dept Code,Official Name,Suggested Display Name,AE Filter Category,AE Filter Sub Category,subDivisionL4Name,Official UC Davis display,subDivisionL4,Experts,Works,Grants
306209,ANR NUTRITION,ANR Nutrition,"Programs, Services and Centers",UC Agriculture and Natural Resources (ANR),ASSOCIATE VICE PRESIDENT,UC Agriculture and Natural Resources (ANR),300000,2,86,19
306204,ANR ENTOMOLOGY/NEMATOLOGY,ANR Entomology and Nematology,"Programs, Services and Centers",UC Agriculture and Natural Resources (ANR),ASSOCIATE VICE PRESIDENT,UC Agriculture and Natural Resources (ANR),300000,2,23,90
306201,ANR AG & RESOURCE ECONOMICS,ANR Agricultural and Resource Economics,"Programs, Services and Centers",UC Agriculture and Natural Resources (ANR),ASSOCIATE VICE PRESIDENT,UC Agriculture and Natural Resources (ANR),300000,2,1,8
306212,ANR VITICULTURE & ENOLOGY,ANR Viticulture and Enology,"Programs, Services and Centers",UC Agriculture and Natural Resources (ANR),ASSOCIATE VICE PRESIDENT,UC Agriculture and Natural Resources (ANR),300000,1,70,76
306213,ANR WILDLIFE&FISHERIES BIOLOGY,"ANR Wildlife, Fish and Conservation Biology","Programs, Services and Centers",UC Agriculture and Natural Resources (ANR),ASSOCIATE VICE PRESIDENT,UC Agriculture and Natural Resources (ANR),300000,1,69,36
306214,ANR ENVIRONMENTAL TOXICOLOGY,ANR Environmental Toxicology,"Programs, Services and Centers",UC Agriculture and Natural Resources (ANR),ASSOCIATE VICE PRESIDENT,UC Agriculture and Natural Resources (ANR),300000,1,2,1
306302,ANR VM MOLECULAR BIO SCIENCES,ANR Vet Medicine: Molecular Biosciences,"Programs, Services and Centers",UC Agriculture and Natural Resources (ANR),ASSOCIATE VICE PRESIDENT,UC Agriculture and Natural Resources (ANR),300000,1,2,1
61009,INCLUSIVE EXCELLENCE,Inclusive Excellence,"Programs, Services and Centers",University Offices and Programs,,,S2005,5,227,39
63000,OFFICE OF THE PROVOST,Office of the Provost,"Programs, Services and Centers",University Offices and Programs,OFFICE OF THE PROVOST SUB DIV,,S2031,3,323,32
61003,UNDERGRADUATE EDUCATION,Undergraduate Education,"Programs, Services and Centers",University Offices and Programs,UNDERGRADUATE EDUCATION SUBDIV,,S2032,3,79,10
61800,VICE CHANCELLOR - RESEARCH,Vice Chancellor – Research,"Programs, Services and Centers",University Offices and Programs,RESEARCH SUBDIV,,S2033,3,56,15
68018,ACADEMIC ASST AND TUTOR CTRS,Academic Assistance and Tutoring Centers,"Programs, Services and Centers",University Offices and Programs,STUDENT AFFAIRS SUBDIV,,S2034,3,0,0
61827,BIOTECHNOLOGY PROGRAM,Biotechnology Program,"Programs, Services and Centers",Interdisciplinary Research Units,RESEARCH SUBDIV,Interdisciplinary Research Units,S2033,2,1,4
63010,ACADEMIC AFFAIRS,Academic Affairs,"Programs, Services and Centers",University Offices and Programs,OFFICE OF THE PROVOST SUB DIV,,S2031,1,729,5
61000,OFFICE OF THE CHANCELLOR,Office of the Chancellor,"Programs, Services and Centers",University Offices and Programs,OFFICE OF THE CHANCELLOR SUBD,,S2028,1,230,0
61796,INTERDIS RES & STRATEGIC INIT,Interdisciplinary Research and Strategic Initiatives,"Programs, Services and Centers",Interdisciplinary Research Units,RESEARCH SUBDIV,,S2033,1,201,94
69002,CTR INFO TECH BANATAO INST,Banatao Institute for Information Technology,"Programs, Services and Centers",Interdisciplinary Research Units,RESEARCH SUBDIV,Interdisciplinary Research Units,S2033,1,87,6
61014,CTR HEALTH POLICY AND RESEARCH,Center for Health Policy and Research,"Programs, Services and Centers",Interdisciplinary Research Units,RESEARCH SUBDIV,Interdisciplinary Research Units,S2033,1,68,4
61035,AGGIE SQUARE,Aggie Square,"Programs, Services and Centers",University Offices and Programs,,,S2027,1,24,1
61021,DEVELOPMENT: DEVELOPMENT OFC,Development Office,"Programs, Services and Centers",University Offices and Programs,DEVELOP/ALUMNI RELATIONS SUBDI,,S2004,1,0,0
61030,INNOVATION & ECONOMIC DEV,Innovation and Economic Development,"Programs, Services and Centers",University Offices and Programs,,,S2027,1,0,1
61417,IET-ACADEMIC APPLICATIONS,IET Academic Applications,"Programs, Services and Centers",University Offices and Programs,INFO AND EDUC TECH SUBDIV,,S2021,1,0,0
61425,VP-INFO & EDUCATIONAL TECH,VP Information and Educational Technology,"Programs, Services and Centers",University Offices and Programs,INFO AND EDUC TECH SUBDIV,,S2021,1,0,0
61836,CNTR FOR ENTREPRENEURSHIP C4E,Center for Entrepreneurship,"Programs, Services and Centers",University Offices and Programs,MANAGEMENT SUBDIV,,S2025,1,0,0
63095,CTR EDUCATIONAL EFFECTIVENESS,Center for Educational Effectiveness,"Programs, Services and Centers",University Offices and Programs,UNDERGRADUATE EDUCATION SUBDIV,,S2032,1,0,0
68000,OFFICE VICE CHAN STUDENT AFFAI,"Office of the Vice Chancellor, Student Affairs","Programs, Services and Centers",University Offices and Programs,STUDENT AFFAIRS SUBDIV,,S2034,1,0,4
68019,CNTRS FOR OPP SCHOLAR SUCCESS,Centers for Opportunity and Scholarly Success,"Programs, Services and Centers",University Offices and Programs,STUDENT AFFAIRS SUBDIV,,S2034,1,0,0
68022,TRANSFER AND VETERANS SERVICES,Transfer and Veterans Services,"Programs, Services and Centers",University Offices and Programs,STUDENT AFFAIRS SUBDIV,,S2034,1,0,0
68090,STUDENT HOUSING,Student Housing,"Programs, Services and Centers",University Offices and Programs,STUDENT AFFAIRS SUBDIV,,S2034,1,0,0
63055,THE WRITING CENTER,The Writing Center,"Programs, Services and Centers",University Offices and Programs,UNDERGRADUATE EDUCATION SUBDIV,,S2032,78,9,5
60500,UCDLIBRARY,UC Davis Library,"Programs, Services and Centers",University Offices and Programs,LIBRARY SUBDIV,,S2024,41,380,16
63005,GLOBAL AFFAIRS ACAD PROGRAMS,Global Affairs Academic Programs,"Programs, Services and Centers",University Offices and Programs,GLOBAL AFFAIRS SUBDIV,,S2030,4,189,44
63002,GLOBAL LEARNING HUB,Global Learning Hub,"Programs, Services and Centers",University Offices and Programs,GLOBAL AFFAIRS SUBDIV,,S2030,3,19,22
63017,IMAGINING AMERICA,Imagining America,"Programs, Services and Centers",University Offices and Programs,OFFICE OF THE PROVOST SUB DIV,,S2031,1,1,7
63001,GLOBAL AFFAIRS VPD OFFICE,Global Affairs VP Development Office,"Programs, Services and Centers",University Offices and Programs,GLOBAL AFFAIRS SUBDIV,,S2030,1,0,0
